# screening_decisions.tsv -- the project owner's own include/exclude verdicts, one per
# publication, recorded from how PDFs were sorted under
# D:\Agentic\bifserver-works\literatures on 2026-09-22.
#
# These are NOT screening_record.triage_state. That column is Zone H, a deterministic
# function of query_families.yaml and discovery.py, and the schema says it must never be
# overwritten directly -- the next discovery run rebuilds it. A person who read a paper
# and rejected it is not a function of the query file, so the verdict lives here and in
# the screening_decision table, where re-running discovery cannot erase it.
#
# in_atlas records whether the DOI matched a publication row at the time of writing. 'no'
# means the owner screened a paper discovery never returned: kept deliberately, because a
# decision about a paper the atlas has not seen is still a decision, and dropping it here
# would silently re-open the paper if discovery later finds it.
#
# pdf/ (17 files, unsorted) is absent on purpose. Undecided is not a decision.
publication_id	decision	reason	source	decided_by	decided_at	in_atlas	pdf_file
doi:10.1002/j.1460-2075.1985.tb04112.x	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1002_j.1460-2075.1985.tb04112.x.pdf
doi:10.1002/j.1460-2075.1990.tb07636.x	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1002_j.1460-2075.1990.tb07636.x.pdf
doi:10.1002/j.1460-2075.1992.tb05336.x	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1002_j.1460-2075.1992.tb05336.x.pdf
doi:10.1002/j.1460-2075.1995.tb00191.x	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1002_j.1460-2075.1995.tb00191.x.pdf
doi:10.1002/j.1460-2075.1995.tb00302.x	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1002_j.1460-2075.1995.tb00302.x.pdf
doi:10.1007/978-1-0716-2922-2_24	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_978-1-0716-2922-2_24.pdf
doi:10.1007/bf00310888	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00310888.pdf
doi:10.1007/bf00311209	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00311209.pdf
doi:10.1007/bf00311880	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00311880.pdf
doi:10.1007/bf00312618	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00312618.pdf
doi:10.1007/bf00312648	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00312648.pdf
doi:10.1007/bf00312651	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00312651.pdf
doi:10.1007/bf00312770	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00312770.pdf
doi:10.1007/bf00314437	exclude	Owner read the PDF and rejected it as out of scope for the isobutanol/ethanol atlas.	pdf_excluded/	kangkon	2026-09-22	yes	10.1007_bf00314437.pdf
