# DUET gene panel -- PLAN.md E.4 phase-1 resolution, PLAN.md N.2 data/panels/.
#
# GENERATED by src/fermdb/omics/genes.py from two sources, and reviewed as a diff:
#   identity columns : s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900),
#                      the RefSeq rna_from_genomic FASTA for GCF_000146045.2
#   duet_role columns: docs/design/DUET_TARGET.md §3, parsed from its Markdown table
#
# The role lives here rather than in the database because no table models it: gene and
# gene_group have no role column, gene_annotation.source is a closed set of external
# annotation authorities, and `predicate` is a closed vocabulary with no membership term.
# Recording it in one of those would be a fabrication in a column that means something
# else. See this module's docstring.
#
# duet_role 'unknown' = the role table was consulted and does not place this gene.
# It is not NULL (nobody looked) and not 'NA' (not applicable).
standard_name	systematic_name	gene_group_id	ncbi_gene_id	encoding_genome	duet_role	duet_role_label	product	evidence	confidence
ADH2	YMR303C	YAA:GG:ymr303c	855349	nuclear	redox_shuttle	Redox shuttle	alcohol dehydrogenase ADH2	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
ADH3	YMR083W	YAA:GG:ymr083w	855107	nuclear	redox_shuttle	Redox shuttle	alcohol dehydrogenase ADH3	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
ALD6	YPL061W	YAA:GG:ypl061w	856044	nuclear	competing_by_product	Competing / by-product	aldehyde dehydrogenase (NADP(+)) ALD6	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
ARO10	YDR380W	YAA:GG:ydr380w	851987	nuclear	pathway	Pathway	phenylpyruvate decarboxylase ARO10	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
ATF1	YOR377W	YAA:GG:yor377w	854559	nuclear	competing_by_product	Competing / by-product	alcohol O-acetyltransferase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
BAT1	YHR208W	YAA:GG:yhr208w	856615	nuclear	pathway	Pathway	branched-chain-amino-acid transaminase BAT1	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
BAT2	YJR148W	YAA:GG:yjr148w	853613	nuclear	pathway	Pathway	branched-chain-amino-acid transaminase BAT2	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
BDH1	YAL060W	YAA:GG:yal060w	851239	nuclear	competing_by_product	Competing / by-product	(R,R)-butanediol dehydrogenase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
BDH2	YAL061W	YAA:GG:yal061w	851238	nuclear	competing_by_product	Competing / by-product	putative dehydrogenase BDH2	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
ECM31	YBR176W	YAA:GG:ybr176w	852474	nuclear	competing_by_product	Competing / by-product	3-methyl-2-oxobutanoate hydroxymethyltransferase	docs/design/DUET_TARGET.md §3 for the role; RefSeq rna_from_genomic FASTA for assembly GCF_000146045.2, parsed from s288c.transcripts.fna.gz (sha256 f783b29bd4220d9ee5665f303f2bd3bf33c8f0cab9444b2437ed2c8fe0c62900) for the identity	unverified
