# condition_facets.tsv — controlled vocabulary of the facets that make up `condition_context`
# (PLAN.md C.5), the entity that "decides whether cross-study integration is possible at all."
# One row per facet field (not per facet group), so a loader can validate a parsed condition
# record field-by-field against this table.
#
# Binding rules carried from PLAN.md C.5 / docs/reference/CONVENTIONS.md "Conditions":
#   * `condition_context` is immutable and deduplicated by `context_hash` over its RECORDED
#     facets only.
#   * "Every facet has an as_reported shadow field" — the `as_reported_shadow` column below is
#     'true' for every facet without exception; a facet that is enum/parsed (Zone H) always keeps
#     the string the paper used (Zone R) beside it.
#   * NULL = never recorded by the source; 'NA' = recorded as genuinely not applicable (e.g. `ph`
#     for an aeration_class that makes pH moot is still NULL unless the paper explicitly says "not
#     controlled" style NA — most facets will be NULL, not NA, when a paper is silent); 'unknown'
#     = recorded but not resolvable to one of `allowed_values`. This file constrains what
#     `allowed_values` a Zone H parse may resolve an enum facet to; it does not force a value.
#
# Columns:
#   facet_group        the PLAN.md C.5 table's row grouping (Carbon, Nitrogen & medium, Oxygen,
#                      Mode, Physical, Scale, Inoculum, Stressor, Sampling)
#   field              the field name, dotted for a struct member (e.g. stressor.compound)
#   type               enum | numeric | free_text | bool | struct | reference — this curator's
#                      classification of the field, not a PLAN.md-stated type annotation
#   allowed_values     pipe-separated closed values for an enum field, or 'NA' for a non-enum
#                      field, or 'unknown' where PLAN.md names the field but not its value set
#                      (this curator declines to invent one)
#   unit_hint          expected unit for a numeric field, or 'NA'
#   as_reported_shadow always 'true' per PLAN.md C.5
#   description        plain-language meaning
#   evidence, confidence   per docs/reference/CONVENTIONS.md "Curation"
#
# Evidence-honesty pass (this revision, following the compartments.tsv D1 rewrite): every row
# below that was 'high' solely on the strength of citing another fermdb file (PLAN.md,
# docs/reference/CONVENTIONS.md, a source module, or another vocabulary TSV) has been changed to
# 'unverified' -- citing an internal document is citing memory with an extra hop, not an
# independent check. A row stays 'high' only when its evidence names something actually checked
# outside the repo in this session (e.g. a ChEBI lookup via web search). The confidence vocabulary
# is closed and has four values everywhere ('unverified', 'low', 'medium', 'high'; D2);
# 'unverified' means asserted but never checked against a source, distinct from 'low' (checked,
# weak).
#
# storage_location (new column, this revision): whether a loader must write this facet's parsed
# value as a first-class column on `condition_context`, or as a (context_id, facet) row in the
# overflow table `condition_context_facet` (src/fermdb/db/schema.sql). Two loaders guessing
# differently here would write the same facet to two different places and silently break
# `context_hash` dedup (identical conditions would stop sharing one row). Derived directly from
# schema.sql's actual `condition_context` column list (tests/test_vocabularies.py cross-checks
# this file against it), not from PLAN.md or memory, so this column's correctness does not depend
# on the confidence rating in the row it sits in. Six first-class facets (vessel_type,
# working_volume_l, dilution_rate, time_h, scale_class, growth_phase) have their *parsed* value as
# a first-class column but their `_as_reported` shadow (when the source's wording matters) still
# lives in `condition_context_facet`, per schema.sql's comment on `condition_context`; this column
# reports where the value itself lives, not the shadow.
facet_group	field	type	allowed_values	unit_hint	as_reported_shadow	storage_location	description	evidence	confidence
Carbon	carbon_sources	struct	NA	NA	true	condition_context_facet	Array of {compound, concentration, unit} — every carbon source present, not just the dominant one.	PLAN.md C.5 facet table (Carbon row)	unverified
Carbon	total_sugar_g_l	numeric	NA	g/L	true	condition_context	Total sugar concentration, summed across carbon_sources where the source states it.	PLAN.md C.5 facet table (Carbon row)	unverified
Carbon	feedstock_class	enum	defined|molasses|hydrolysate|starch|other	NA	true	condition_context	The class of feedstock the carbon source(s) come from.	PLAN.md C.5 facet table (Carbon row: enum values quoted verbatim)	unverified
Carbon	hydrolysate_inhibitors	struct	NA	NA	true	condition_context_facet	Array of {compound, concentration} — inhibitory compounds present when feedstock_class is hydrolysate (e.g. furfural, acetate, HMF).	PLAN.md C.5 facet table (Carbon row)	unverified
Nitrogen & medium	medium_name	free_text	NA	NA	true	condition_context	The medium's name as the paper gives it (e.g. "YPD", "Verduyn medium").	PLAN.md C.5 facet table (Nitrogen & medium row)	unverified
Nitrogen & medium	medium_class	enum	defined|complex|industrial	NA	true	condition_context	The class of medium used.	PLAN.md C.5 facet table (Nitrogen & medium row: enum values quoted verbatim)	unverified
Nitrogen & medium	nitrogen_source	free_text	NA	NA	true	condition_context	The nitrogen source as the paper states it (e.g. ammonium sulfate, urea, yeast extract).	PLAN.md C.5 facet table (Nitrogen & medium row)	unverified
Nitrogen & medium	supplements	struct	NA	NA	true	condition_context_facet	Array of named medium supplements beyond the base carbon/nitrogen sources (e.g. vitamins, trace elements added above a defined baseline).	PLAN.md C.5 facet table (Nitrogen & medium row)	unverified
Oxygen	aeration_class	enum	anaerobic|microaerobic|oxygen_limited|aerobic	NA	true	condition_context	The aeration regime.	PLAN.md C.5 facet table (Oxygen row: enum values quoted verbatim)	unverified
Oxygen	vvm	numeric	NA	vvm (volume air per volume liquid per minute)	true	condition_context	Aeration rate.	PLAN.md C.5 facet table (Oxygen row)	unverified
Oxygen	agitation_rpm	numeric	NA	rpm	true	condition_context_facet	Shaking/stirring speed.	PLAN.md C.5 facet table (Oxygen row)	unverified
Oxygen	dissolved_oxygen_pct	numeric	NA	% of air saturation	true	condition_context	Dissolved oxygen level, as percent of saturation.	PLAN.md C.5 facet table (Oxygen row)	unverified
Oxygen	otr	numeric	NA	mmol O2 / (L*h)	true	condition_context_facet	Oxygen transfer rate.	PLAN.md C.5 facet table (Oxygen row)	unverified
Mode	mode	enum	batch|fed_batch|continuous|repeated_batch|SSF|SHF|CBP|immobilized	NA	true	condition_context	The fermentation mode.	PLAN.md C.5 facet table (Mode row: enum values quoted verbatim)	unverified
Mode	dilution_rate	numeric	NA	h^-1	true	condition_context	Dilution rate, meaningful for continuous/chemostat mode.	PLAN.md C.5 facet table (Mode row)	unverified
Mode	feed_profile	free_text	NA	NA	true	condition_context_facet	How feed was added over time for fed_batch/continuous modes, as the paper describes it.	PLAN.md C.5 facet table (Mode row)	unverified
Physical	temperature_c	numeric	NA	degrees C	true	condition_context	Culture temperature.	PLAN.md C.5 facet table (Physical row)	unverified
Physical	ph	numeric	NA	pH units	true	condition_context	Culture pH.	PLAN.md C.5 facet table (Physical row)	unverified
