rank	band	doi	pmid	title	year	journal	why_wanted_for_E1	why_unavailable	why_unavailable_detail	redistributable_if_supplied	publisher_url	best_known_link	queue_priority_as_computed	queue_priority_topic
1	A	10.1128/AEM.70.1.159-166.2004	14711638	Directed evolution of pyruvate decarboxylase-negative Saccharomyces cerevisiae, yielding a C2-independent, glucose-tolerant, and pyruvate-hyperproducing yeast.	2004	Applied and environmental microbiology	The glucose-tolerance evolution and C2-independence B.3.1 names by name. A pdc1,5,6-negative strain evolved to grow on glucose without a C2 source: the single measured demonstration that the Pdc-minus growth defect and the C2 auxotrophy are separable, and at what cost. Nothing else in the queue answers this.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/321313	10	other
2	A	10.1111/j.1574-6968.1999.tb13551.x	10234824	Growth requirements of pyruvate-decarboxylase-negative Saccharomyces cerevisiae.	1999	FEMS microbiology letters	Quantifies the C2 auxotrophy itself - how much acetate/ethanol a Pdc-negative strain must be fed to grow at all. The baseline cost figure the counterfactual layer is missing.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
3	A	10.1016/j.jbiotec.2019.08.009	31421146	Deletion of glycerol-3-phosphate dehydrogenase genes improved 2,3-butanediol production by reducing glycerol production in pyruvate decarboxylase-deficient Saccharomyces cerevisiae.	2019	Journal of biotechnology	GPD1/GPD2 deletion inside a pyruvate-decarboxylase-deficient background: exactly the compensating glycerol branch B.3.1 admits, measured in the chassis where it matters. Answers 'what happens to the redox overflow once the principal NADH sink is gone'.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
4	A	10.1128/AEM.70.5.2898-2905.2004	15128549	Homofermentative lactate production cannot sustain anaerobic growth of engineered Saccharomyces cerevisiae: possible consequence of energy-dependent lactate export.	2004	Applied and environmental microbiology	A NEGATIVE result on replacing the NADH sink: homolactic fermentation cannot sustain anaerobic growth. E1 exists to record what the incumbent architecture costs, and a failed substitution bounds that cost harder than a successful one.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/404449	10	other
5	A	10.1074/jbc.274.30.21044	10409655	A mitochondrial pyruvate dehydrogenase bypass in the yeast Saccharomyces cerevisiae.	1999	The Journal of biological chemistry	The mitochondrial pyruvate dehydrogenase bypass - the route by which a Pdc-minus cell can still make cytosolic acetyl-CoA. Without it the C2 auxotrophy is a fact with no mechanism.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		http://www.jbc.org/content/274/30/21044.full.pdf	10	other
6	A	10.1128/AEM.66.8.3151-3159.2000	10919763	Engineering of the pyruvate dehydrogenase bypass in Saccharomyces cerevisiae: role of the cytosolic Mg(2+) and mitochondrial K(+) acetaldehyde dehydrogenases Ald6p and Ald4p in acetate formation during alcoholic fermentation.	2000	Applied and environmental microbiology	Engineering of the PDH bypass, with Ald6p and Ald4p apportioned between cytosol and matrix. Answers E1's acetate-formation question and is the only queue item that also touches a matrix aldehyde dehydrogenase, so it reads across to E5.	no_pdf_found	No PDF located - no open-access copy resolved by Unpaywall/EuropePMC and no publisher PDF found at the recorded link; may exist in a repository or as scanned back-issue.	yes		https://www.ncbi.nlm.nih.gov/pmc/articles/92127	10	other
7	A	10.1002/bit.26048	27426989	"Toward ""homolactic"" fermentation of glucose and xylose by engineered Saccharomyces cerevisiae harboring a kinetically efficient l-lactate dehydrogenase within pdc1-pdc5 deletion background."	2017	Biotechnology and bioengineering	A pdc1-pdc5 deletion background carrying an efficient LDH: a measured Pdc-attenuated chassis with the redox consequence read out as product. This is the shape of the Gevo/Butamax-lineage literature E1 exists to let us read.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
8	A	10.1080/10826068.2021.1910958	33881948	Effects of pyruvate decarboxylase (pdc1, pdc5) gene knockout on the production of metabolites in two haploid Saccharomyces cerevisiae strains.	2022	Preparative biochemistry & biotechnology	A straight cost ledger: pdc1/pdc5 knockout against its parent in two haploid backgrounds, metabolite by metabolite. Cheap to extract, directly on-criterion.	paywalled	Paywalled - publisher requires a subscription or per-article purchase; institutional access needed.	yes			10	other
9	A	10.1002/biot.202200535	36723451	Glucose assimilation rate determines the partition of flux at pyruvate between lactic acid and ethanol in Saccharomyces cerevisiae.	2023	Biotechnology journal	How flux at the pyruvate branch point partitions between lactate and ethanol as a function of glucose assimilation rate. E1's question is what competes for pyruvate; this measures the competition instead of deleting one side of it.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://doi.org/10.1002/biot.202200535	8	ethanol
10	A	10.1002/biot.201900013	30969019	The Transcriptome and Flux Profiling of Crabtree-Negative Hydroxy Acid-Producing Strains of Saccharomyces cerevisiae Reveals Changes in the Central Carbon Metabolism.	2019	Biotechnology journal	Transcriptome AND flux profiling of Crabtree-negative (Pdc-attenuated) S. cerevisiae. The only queue item that would serve both E1 and B.3.4's reprocessed-transcriptome slot for the pdc-minus background.	licence_forbids	Licence forbids redistribution - a copy may be read under the owner's own access but CANNOT be stored as redistributable; would be ingested with redistributable = false.	NO		https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/biot.201900013	10	other
