strain_as_reported	strain_id_guess	quantity_kind	product	value_as_reported	unit_as_reported	uncertainty_as_reported	n_replicates	timepoint_or_condition	medium_and_cultivation_as_reported	source_locator	quote	confidence	note
WT (CEN.PK113-5D URA3+ parental)	YAA:STRAIN:y795	titer	isobutanol	37	mg/L	not given in text (Fig. 2 error bars = SD of 3 biological replicates)	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 'Engineered strains produce varied amounts of isobutanol' (values also plotted in Fig. 2)	Isobutanol production varied significantly among the engineered strains. The cIBAILV5 and cIBAIlvC6E6 strains produced isobutanol at levels less than or equal to WT; at 38 h, the isobutanol titers were 37, 46, and 31 mg/L in the WT, cIBAILV5, and cIBAIlvC6E6 strains, respectively.	high	PARENT strain, no isobutanol cassette. It still makes 37 mg/L isobutanol from its native valine/Ehrlich pathway -- this is the background, not zero. Both cytosolic producers sit at or below this background.
cIBA^ILV5	YAA:STRAIN:y812	titer	isobutanol	46	mg/L	not given in text (Fig. 2 error bars = SD of 3 biological replicates)	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	Isobutanol production varied significantly among the engineered strains. The cIBAILV5 and cIBAIlvC6E6 strains produced isobutanol at levels less than or equal to WT; at 38 h, the isobutanol titers were 37, 46, and 31 mg/L in the WT, cIBAILV5, and cIBAIlvC6E6 strains, respectively.	high	Cytosolic pathway with native truncated ScIlv5Dp2-48 (NADPH KARI). Only 1.24-fold above the parent.
cIBA^IlvC6E6	YAA:STRAIN:y799	titer	isobutanol	31	mg/L	not given in text (Fig. 2 error bars = SD of 3 biological replicates)	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	Isobutanol production varied significantly among the engineered strains. The cIBAILV5 and cIBAIlvC6E6 strains produced isobutanol at levels less than or equal to WT; at 38 h, the isobutanol titers were 37, 46, and 31 mg/L in the WT, cIBAILV5, and cIBAIlvC6E6 strains, respectively.	high	Cytosolic pathway with E. coli IlvC6E6 (NADH KARI). BELOW the parent's 37 mg/L -- the redox-balanced build is the worst performer in the study.
mIBA^ILV5	YAA:STRAIN:y797	titer	isobutanol	170	mg/L	not given in text (Fig. 2 error bars = SD of 3 biological replicates)	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2 (Fig. 2)	The highest isobutanol titer was achieved by the mIBAILV5 strain, which produced 170 mg/L at 38 h, corresponding to a yield of 1.8 mg isobutanol/g glucose.	high	Best of the four atlas strains. 4.6-fold over the parent.
mIBA^ILV5	YAA:STRAIN:y797	yield	isobutanol	1.8	mg isobutanol/g glucose	not given	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2	The highest isobutanol titer was achieved by the mIBAILV5 strain, which produced 170 mg/L at 38 h, corresponding to a yield of 1.8 mg isobutanol/g glucose.	high	The ONLY yield figure the paper gives for any of its own strains. No yield is reported for WT, cIBAILV5 or cIBAIlvC6E6 anywhere in the main text.
WT (CEN.PK113-5D URA3+ parental)	YAA:STRAIN:y795	yield	isobutanol	~0.37	mg isobutanol/g glucose	n/a	3	38 h post inoculation (derived)	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	DERIVED, not stated: 37 mg/L / 100 g/L glucose	Isobutanol production varied significantly among the engineered strains. The cIBAILV5 and cIBAIlvC6E6 strains produced isobutanol at levels less than or equal to WT; at 38 h, the isobutanol titers were 37, 46, and 31 mg/L in the WT, cIBAILV5, and cIBAIlvC6E6 strains, respectively. || All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	low	NOT A PAPER VALUE. Back-calculated from the 38 h titer and the 100 g/L glucose that all strains 'completely consumed'. Do not promote as a reported yield.
cIBA^ILV5	YAA:STRAIN:y812	yield	isobutanol	~0.46	mg isobutanol/g glucose	n/a	3	38 h post inoculation (derived)	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	DERIVED, not stated: 46 mg/L / 100 g/L glucose	Isobutanol production varied significantly among the engineered strains. The cIBAILV5 and cIBAIlvC6E6 strains produced isobutanol at levels less than or equal to WT; at 38 h, the isobutanol titers were 37, 46, and 31 mg/L in the WT, cIBAILV5, and cIBAIlvC6E6 strains, respectively. || All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	low	NOT A PAPER VALUE. Back-calculated. Note the paper's own stated 1.8 mg/g for mIBAILV5 (170 mg/L / 100 g/L = 1.7) confirms this arithmetic is how they computed yield.
cIBA^IlvC6E6	YAA:STRAIN:y799	yield	isobutanol	~0.31	mg isobutanol/g glucose	n/a	3	38 h post inoculation (derived)	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	DERIVED, not stated: 31 mg/L / 100 g/L glucose	Isobutanol production varied significantly among the engineered strains. The cIBAILV5 and cIBAIlvC6E6 strains produced isobutanol at levels less than or equal to WT; at 38 h, the isobutanol titers were 37, 46, and 31 mg/L in the WT, cIBAILV5, and cIBAIlvC6E6 strains, respectively. || All strains completely consumed the glucose provided and reached similar final OD600 (5.3-5.6) values by the end of the 48 h fermentation.	low	NOT A PAPER VALUE. Back-calculated.
mIBA^ILV5 vs cIBA^ILV5		ratio	isobutanol	3.8	fold (titer ratio)	P < 5E-6	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2; also stated in Abstract	In summary, the mIBAILV5 strain outperforms the other engineered strains and had a 3.8-fold (P < 5E-6) higher isobutanol titers than the cIBAILV5 strain.	high	Pathway-localization effect. 170/46 = 3.70 from the rounded titers; the paper's 3.8 comes from the unrounded replicate means. Abstract phrases it as 'the strain expressing the mitochondrial-localized enzymes producing 3.8-fold more isobutanol than strains expressing the cytosolic enzymes'.
cIBA^ILV5 vs cIBA^IlvC6E6		ratio	isobutanol	1.5	fold (titer ratio)	P < 5E-5	3	38 h post inoculation	minimal medium containing 100 g/L glucose; anaerobic, 30 C, 48 h batch (6.7 g/L YNB w/ ammonium sulfate, 19.5 g/L MES, 100 g/L dextrose, Tween80/ergosterol, pH 5.5)	Results and discussion 3.2; also stated in Abstract	The cIBAILV5 strain produced 1.5-fold (P < 5E-5) more isobutanol than the cIBAIlvC6E6 strain indicating that redox cofactor-balancing is not a limiting factor for driving flux to isobutanol synthesis in these strains and NAD+ is preferentially regenerated through ethanol fermentation.	high	Cofactor-balancing effect, and it is NEGATIVE: the redox-IMBALANCED NADPH build beats the balanced NADH build. 46/31 = 1.48.
