publication_id	doi	year	host_organism	strain_name_as_reported	value_as_reported	unit_as_reported	value_g_per_g	basis	is_theoretical_percent	carbon_source	cultivation_mode_as_reported	quote	section	confidence	note
doi:10.1016/j.btre.2026.e00959	10.1016/j.btre.2026.e00959	2026	Saccharomyces cerevisiae	IbOH-1bat1delta	15.11	mg/g glucose	0.01511	glucose	false	glucose (YPD, 100 g/L)	shake flask, 72 h	In contrast to previous studies that utilized laboratory strains with extensive genetic and metabolic engineering, this study developed IbOH-1 demonstrated tolerance to 21 g/L of isobutanol and IbOH-1bat1∆ cells achieved the highest isobutanol production at the shake-flask scale, yielding a titer of 2.016 g/L, with an isobutanol yield of 15.11 mg/g glucose (3.69% of the theoretical maximum yield).	results	high	Paper also reports 3.69% of theoretical, consistent with 0.01511/0.411=3.68%. Industrial osmotolerant parent strain.
doi:10.1016/j.btre.2026.e00959	10.1016/j.btre.2026.e00959	2026	Saccharomyces cerevisiae	IbOH-1bat1delta	20.8	mg/g glucose	0.0208	glucose	false	glucose	5-L bioreactor, 3-L working volume, batch	In comparison, our study achieved a comparable isobutanol titer of 3.12 g/L in a 5-L bioreactor with a 3-L working volume, with an isobutanol yield of 20.8 mg/g glucose (5.06% of the theoretical maximum yield) using batch operation strategy.	results	high	Paper reports 5.06% of theoretical; 0.0208/0.411=5.06% - internally consistent.
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	CEN.PK113-7D + cytosolic Ilv2/Ilv5/Ilv3 (wild-type background)	0.23	mg/g glucose	0.00023	glucose	false	glucose	aerobic shake flask	Metabolite analyses showed a low isobutanol titer of 0.01 g/L (0.23 mg/g glucose) after 24 h for the wt strain CEN.PK113-7D expressing the cytosolic isoforms of Ilv2, Ilv5, and Ilv3 (Fig. b, c).	results	high	Wild-type reference of the series.
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY0 (ilv2delta)	5.28	mg/g glucose	0.00528	glucose	false	glucose	aerobic shake flask	Blocking of the mitochondrial valine biosynthesis by deletion of ILV2 encoding the mitochondrial form of acetolactate synthase (strain JWY0) led to a major increase of the isobutanol titer up to 0.22 g/L (5.28 mg/g glucose) as it has already been shown by Brat et al. [].	results	high	
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY01 (ilv2 bdh1 bdh2)	6.86	mg/g glucose	0.00686	glucose	false	glucose	aerobic shake flask	Inhibition of the 2,3-butanediol biosynthesis pathway by the deletion of BDH1/2 (strain JWY01) further increased isobutanol production to a titer of 0.28 g/L (6.86 mg/g glucose).	results	high	
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY02 (+leu4 leu9)	12.31	mg/g glucose	0.01231	glucose	false	glucose	aerobic shake flask	Further suppression of leucine biosynthesis by deletion of LEU4/9 (strain JWY02) had an additional large effect on isobutanol levels and resulted in a titer of 0.50 g/L (12.31 mg/g glucose).	results	high	
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY03 (+ecm31)	12.69	mg/g glucose	0.01269	glucose	false	glucose	aerobic shake flask	Further blocking of pantothenate biosynthesis by deletion of ECM31 (strain JWY03) had no statistically significant effect on isobutanol production (0.52 g/L, 12.69 mg/g glucose).	results	high	
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY04 (+ilv1)	13.54	mg/g glucose	0.01354	glucose	false	glucose	aerobic shake flask	Maximum isobutanol titers of 0.56 g/L (13.54 mg/g glucose) were reached with strain JWY04 after interrupting the isoleucine biosynthesis pathway by deletion of ILV1.	results	high	
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY18 (gpd2delta)	25.41	mg/g glucose	0.02541	glucose	false	glucose	aerobic shake flask	In contrast, the Gpd2-deficient strain JWY18 showed a distinct decrease of glycerol synthesis (9.14 g/L after 72 h) and a strong increase of the isobutanol titer up to 1.02 g/L (25.41 mg/g glucose) after 120 h.	results	high	
doi:10.1186/s13068-019-1486-8	10.1186/s13068-019-1486-8	2019	Saccharomyces cerevisiae	JWY19 (gpd1 gpd2)	40.51	mg/g glucose	0.04051	glucose	false	glucose	aerobic shake flask	Moreover, double deletion of GPD1 and GPD2 in strain JWY19 abolished glycerol synthesis almost completely (0.15 g/L after 120 h) and the isobutanol level was even further increased showing a maximum isobutanol titer of 1.32 g/L (40.51 mg/g glucose) after 120 h.	results	high	
