publication_id	done	readable	topic	priority	category	cat_rank	score	year	title
doi:10.1016/j.ymben.2020.01.004	False	True	isobutanol	2	strain_engineering	0	100.0	2020	Isobutanol production in Corynebacterium glutamicum: Suppressed succinate by-p
doi:10.1007/s00253-023-12821-9	False	True	isobutanol	2	strain_engineering	0	95.0	2024	Microbial host engineering for sustainable isobutanol production from renewabl
doi:10.1016/j.jbiotec.2023.03.012	False	True	isobutanol	2	strain_engineering	0	95.0	2023	Strategy for efficiently utilizing Escherichia coli cells producing isobutanol
doi:10.1016/j.ymben.2020.04.002	False	True	isobutanol	2	strain_engineering	0	95.0	2020	"Corrigendum to ""Uncovering the role of branched-chain amino acid transaminases"
doi:10.1016/j.biochi.2014.10.024	False	True	isobutanol	2	strain_engineering	0	95.0	2015	Identification and optimization of a novel thermo- and solvent stable ketol-ac
doi:10.1016/j.jbiosc.2012.02.029	False	True	isobutanol	2	strain_engineering	0	95.0	2012	A new carbon catabolite repression mutation of Escherichia coli, mlc∗, and its
doi:10.1016/j.ymben.2011.08.004	False	True	isobutanol	2	strain_engineering	0	95.0	2011	An evolutionary strategy for isobutanol production strain development in Esche
doi:10.1016/j.enzmictec.2026.110838	False	True	isobutanol	2	strain_engineering	0	95.0	2026	Improving isobutanol and 2-ketoisovalerate production by reducing by-product s
doi:10.1016/j.biortech.2018.03.081	False	True	isobutanol	2	microbial_production	1	100.0	2018	Improved production of isobutanol in pervaporation-coupled bioreactor using su
doi:10.1016/j.ymben.2017.07.003	False	True	isobutanol	2	microbial_production	1	95.0	2017	Isobutanol and 2-ketoisovalerate production by Klebsiella pneumoniae via a nat
doi:10.1016/j.ymben.2014.03.006	False	True	isobutanol	2	microbial_production	1	95.0	2014	Isobutanol production at elevated temperatures in thermophilic Geobacillus the
doi:10.1016/j.jbiotec.2024.07.014	False	True	isobutanol	2	microbial_production	1	95.0	2024	Employment of light-inducible promoter in genetically engineered cyanobacteria
doi:10.1016/j.biortech.2012.09.104	False	True	isobutanol	2	microbial_production	1	95.0	2013	Microbial synthesis of n-butanol, isobutanol, and other higher alcohols from d
