run_accession	study_accession	bioproject	biosample	organism	library_strategy	library_selection	library_layout	spots	study_title	experiment_title	sample_title	sample_name	attr_age	attr_agent	attr_base_media	attr_biomaterial_provider	attr_biosamplemodel	attr_cell_line	attr_collected_by	attr_collection_date	attr_common_name	attr_compound	attr_control_1	attr_control_2	attr_culture	attr_experiment_day	attr_genotype	attr_geo_loc_name	attr_growth_condition	attr_host	attr_isobutanol_addition	attr_isolate	attr_isolation_source	attr_library_id	attr_organism_part	attr_replicate	attr_roles_in_the_project	attr_sample_replicate_id	attr_sample_type	attr_source_name	attr_strain	attr_substrain	attr_temp	attr_time_point	attr_timepoint	attr_tissue	attr_treatment	attr_tryptophan_addition	attr_type	attr_other
ERR2624980	ERP109305	PRJEB27245	SAMEA4722541	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	42222906	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	controlA	SAMEA4722541																	without Folsomia candida						mycelium	1										mycelium				
ERR2624981	ERP109305	PRJEB27245	SAMEA4722542	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	40022950	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	controlB	SAMEA4722542																	without Folsomia candida						mycelium	2										mycelium				
ERR2624982	ERP109305	PRJEB27245	SAMEA4722543	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	37701684	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	controlC	SAMEA4722543																	without Folsomia candida						mycelium	3										mycelium				
ERR2624983	ERP109305	PRJEB27245	SAMEA4722544	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	23939449	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	controlD	SAMEA4722544																	without Folsomia candida						mycelium	4										mycelium				
ERR2624984	ERP109305	PRJEB27245	SAMEA4722545	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	62516329	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	TreatedA	SAMEA4722545																	with Folsomia candida						mycelium	1										mycelium				
ERR2624985	ERP109305	PRJEB27245	SAMEA4722546	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	60553139	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	TreatedB	SAMEA4722546																	with Folsomia candida						mycelium	2										mycelium				
ERR2624986	ERP109305	PRJEB27245	SAMEA4722547	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	28727511	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	TreatedC	SAMEA4722547																	with Folsomia candida						mycelium	3										mycelium				
ERR2624987	ERP109305	PRJEB27245	SAMEA4722548	Fusarium graminearum	RNA-Seq	cDNA	PAIRED	40257043	RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	NextSeq 500 paired end sequencing; RNA-seq of Fusarium graminearum under predation by the springtail Folsomia candida against untreated controls	TreatedD	SAMEA4722548																	with Folsomia candida						mycelium	4										mycelium				
ERR3450094	ERP116462	PRJEB33652	SAMEA5806236	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	3113174	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	gln3(0)_rep1	SAMEA5806236	12					BY4741			baker's yeast						gln3 deletion		SC medium without isobutanol						whole organism											whole organism				
ERR3450095	ERP116462	PRJEB33652	SAMEA5806237	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	2134062	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	gln3(0)_rep2	SAMEA5806237	12					BY4741			baker's yeast						gln3 deletion		SC medium without isobutanol						whole organism											whole organism				
ERR3450096	ERP116462	PRJEB33652	SAMEA5806238	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	1326663	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	gln3(i-BuOH)_rep1	SAMEA5806238	12					BY4741			baker's yeast						gln3 deletion		SC medium with 1.3% (v/v) isobutanol						whole organism											whole organism				
ERR3450097	ERP116462	PRJEB33652	SAMEA5806239	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	3719279	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	gln3(i-BuOH)_rep2	SAMEA5806239	12					BY4741			baker's yeast						gln3 deletion		SC medium with 1.3% (v/v) isobutanol						whole organism											whole organism				
ERR3450098	ERP116462	PRJEB33652	SAMEA5806240	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	1408529	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	WT(0)_rep1	SAMEA5806240	12					BY4741			baker's yeast						wild type genotype		SC medium without isobutanol						whole organism											whole organism				
ERR3450099	ERP116462	PRJEB33652	SAMEA5806241	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	2485218	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	WT(0)_rep2	SAMEA5806241	12					BY4741			baker's yeast						wild type genotype		SC medium without isobutanol						whole organism											whole organism				
ERR3450100	ERP116462	PRJEB33652	SAMEA5806242	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	1709278	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	WT(i-BuOH)_rep1	SAMEA5806242	12					BY4741			baker's yeast						wild type genotype		SC medium with 1.3% (v/v) isobutanol						whole organism											whole organism				
ERR3450101	ERP116462	PRJEB33652	SAMEA5806243	Saccharomyces cerevisiae	RNA-Seq	RANDOM	PAIRED	1588749	Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	Illumina MiSeq paired end sequencing; Transcriptional responses to isobutanol in Saccharomyces cerevisiae wild type and gln3 deletion strains	WT(i-BuOH)_rep2	SAMEA5806243	12					BY4741			baker's yeast						wild type genotype		SC medium with 1.3% (v/v) isobutanol						whole organism											whole organism				
SRR064642	SRP003312		SAMN00109675	Escherichia coli str. K-12 substr. MG1655	WGS	RANDOM	PAIRED	5968953	Whole genome sequencing of isobutanol high tolerance Escherichia coli strain	Whole genome sequencing of isobutanol tolerance strains in Escherichia coli	Isobutanol production host JCL260 (wild-type)	JCL260_wt																													K-12									
SRR064643	SRP003312		SAMN00109676	Escherichia coli str. K-12 substr. MG1655	WGS	RANDOM	PAIRED	4962680	Whole genome sequencing of isobutanol high tolerance Escherichia coli strain	Whole genome sequencing of isobutanol tolerance strains in Escherichia coli	Isobutanol tolerance mutant SA481	SA481_mut																													K-12									
SRR12265250	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	917972	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265251	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	348588	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265252	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	129113	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265253	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	287564	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265254	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	357557	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265256	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	63784	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265257	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	213480	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265258	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	142624	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265259	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	79422	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265260	SRP272487	PRJNA644061	SAMN15447129	Escherichia coli	AMPLICON	PCR	PAIRED	188209	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_postselection		isobutanol_post-selection_sensor					Microbe, viral or environmental			2019-10-25								USA					after isobutanol sensor condition						mixed culture		missing									
SRR12265261	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	319743	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265262	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	356045	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265263	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	379497	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265264	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	281696	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265265	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	342566	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265267	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	43216	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265268	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	32580	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265269	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	83517	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265270	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	36766	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265271	SRP272487	PRJNA644061	SAMN15447128	Escherichia coli	AMPLICON	PCR	PAIRED	37617	Engineering regulatory networks for complex phenotypes in E. coli	Sensor_preselection		isobutanol_pre-selection_sensor					Microbe, viral or environmental			2019-10-24								USA					before isobutanol sensor condition						mixed culture		missing									
SRR12265272	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	733186	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265273	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	874498	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265274	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	1067672	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265275	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	1202714	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265276	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	662421	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265278	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	638051	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265279	SRP272487	PRJNA644061	SAMN15447127	Escherichia coli	AMPLICON	PCR	PAIRED	1341804	Engineering regulatory networks for complex phenotypes in E. coli	IBA_postselection		isobutanol_post-selection					Microbe, viral or environmental			2019-09-12								USA					after isobutanol condition						mixed culture		missing									
SRR12265280	SRP272487	PRJNA644061	SAMN15447126	Escherichia coli	AMPLICON	PCR	PAIRED	767028	Engineering regulatory networks for complex phenotypes in E. coli	IBA_preselection		isobutanol_pre-selection					Microbe, viral or environmental			2019-09-07								USA					before isobutanol condition						mixed culture		missing									
SRR12265281	SRP272487	PRJNA644061	SAMN15447126	Escherichia coli	AMPLICON	PCR	PAIRED	768444	Engineering regulatory networks for complex phenotypes in E. coli	IBA_preselection		isobutanol_pre-selection					Microbe, viral or environmental			2019-09-07								USA					before isobutanol condition						mixed culture		missing									
SRR14687189	SRP321884	PRJNA733673	SAMN19432077	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9080136	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348134: 1. WT; Saccharomyces cerevisiae S288C; RNA-Seq	1. WT	GSM5348134															WT				No					1				Wild type								No		
SRR14687190	SRP321884	PRJNA733673	SAMN19432077	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9203010	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348134: 1. WT; Saccharomyces cerevisiae S288C; RNA-Seq	1. WT	GSM5348134															WT				No					1				Wild type								No		
SRR14687191	SRP321884	PRJNA733673	SAMN19432076	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9234861	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348135: 2. WT; Saccharomyces cerevisiae S288C; RNA-Seq	2. WT	GSM5348135															WT				No					2				Wild type								No		
SRR14687192	SRP321884	PRJNA733673	SAMN19432076	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9365138	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348135: 2. WT; Saccharomyces cerevisiae S288C; RNA-Seq	2. WT	GSM5348135															WT				No					2				Wild type								No		
SRR14687193	SRP321884	PRJNA733673	SAMN19432075	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9105404	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348136: 3. WT; Saccharomyces cerevisiae S288C; RNA-Seq	3. WT	GSM5348136															WT				No					3				Wild type								No		
SRR14687194	SRP321884	PRJNA733673	SAMN19432075	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9223394	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348136: 3. WT; Saccharomyces cerevisiae S288C; RNA-Seq	3. WT	GSM5348136															WT				No					3				Wild type								No		
SRR14687195	SRP321884	PRJNA733673	SAMN19432074	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9496212	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348137: 4. WT+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	4. WT+Trp	GSM5348137															WT				No					1				Wild type								Yes		
SRR14687196	SRP321884	PRJNA733673	SAMN19432074	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9622098	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348137: 4. WT+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	4. WT+Trp	GSM5348137															WT				No					1				Wild type								Yes		
SRR14687197	SRP321884	PRJNA733673	SAMN19432073	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8901509	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348138: 5. WT+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	5. WT+Trp	GSM5348138															WT				No					2				Wild type								Yes		
SRR14687198	SRP321884	PRJNA733673	SAMN19432073	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9030764	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348138: 5. WT+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	5. WT+Trp	GSM5348138															WT				No					2				Wild type								Yes		
SRR14687199	SRP321884	PRJNA733673	SAMN19432072	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8758725	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348139: 6. WT+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	6. WT+Trp	GSM5348139															WT				No					3				Wild type								Yes		
SRR14687200	SRP321884	PRJNA733673	SAMN19432072	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8860370	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348139: 6. WT+Trp; Saccharomyces cerevisiae S288C; RNA-Seq	6. WT+Trp	GSM5348139															WT				No					3				Wild type								Yes		
SRR14687201	SRP321884	PRJNA733673	SAMN19432071	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9306805	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348140: 7. WT+IB; Saccharomyces cerevisiae S288C; RNA-Seq	7. WT+IB	GSM5348140															WT				Yes					1				Wild type								No		
SRR14687202	SRP321884	PRJNA733673	SAMN19432071	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	9443992	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348140: 7. WT+IB; Saccharomyces cerevisiae S288C; RNA-Seq	7. WT+IB	GSM5348140															WT				Yes					1				Wild type								No		
SRR14687203	SRP321884	PRJNA733673	SAMN19432070	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8873002	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348141: 8. WT+IB; Saccharomyces cerevisiae S288C; RNA-Seq	8. WT+IB	GSM5348141															WT				Yes					2				Wild type								No		
SRR14687204	SRP321884	PRJNA733673	SAMN19432070	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	8992037	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348141: 8. WT+IB; Saccharomyces cerevisiae S288C; RNA-Seq	8. WT+IB	GSM5348141															WT				Yes					2				Wild type								No		
SRR14687205	SRP321884	PRJNA733673	SAMN19432069	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6894428	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348142: 9. WT+IB; Saccharomyces cerevisiae S288C; RNA-Seq	9. WT+IB	GSM5348142															WT				Yes					3				Wild type								No		
SRR14687206	SRP321884	PRJNA733673	SAMN19432069	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6990694	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348142: 9. WT+IB; Saccharomyces cerevisiae S288C; RNA-Seq	9. WT+IB	GSM5348142															WT				Yes					3				Wild type								No		
SRR14687207	SRP321884	PRJNA733673	SAMN19432068	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7367087	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348143: 10. WT+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	10. WT+Trp+IB	GSM5348143															WT				Yes					1				Wild type								Yes		
SRR14687208	SRP321884	PRJNA733673	SAMN19432068	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7461132	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348143: 10. WT+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	10. WT+Trp+IB	GSM5348143															WT				Yes					1				Wild type								Yes		
SRR14687209	SRP321884	PRJNA733673	SAMN19432067	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7316517	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348144: 11. WT+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	11. WT+Trp+IB	GSM5348144															WT				Yes					2				Wild type								Yes		
SRR14687210	SRP321884	PRJNA733673	SAMN19432067	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	7411990	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348144: 11. WT+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	11. WT+Trp+IB	GSM5348144															WT				Yes					2				Wild type								Yes		
SRR14687211	SRP321884	PRJNA733673	SAMN19432066	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6901235	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348145: 12. WT+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	12. WT+Trp+IB	GSM5348145															WT				Yes					3				Wild type								Yes		
SRR14687212	SRP321884	PRJNA733673	SAMN19432066	Saccharomyces cerevisiae S288C	RNA-Seq	cDNA	SINGLE	6992703	Tryptophan plays a central role in yeast's tolerance to isobutanol	GSM5348145: 12. WT+Trp+IB; Saccharomyces cerevisiae S288C; RNA-Seq	12. WT+Trp+IB	GSM5348145															WT				Yes					3				Wild type								Yes		
